"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 27 13:31:04 GMT 2023","Sun Aug 27 13:31:10 GMT 2023","5658","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Aug 27 13:30:44 GMT 2023","Sun Aug 27 13:30:48 GMT 2023","4475","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"failed","Sun Aug 27 13:30:51 GMT 2023","Sun Aug 27 13:30:57 GMT 2023","6598","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Aug 27 13:30:51 GMT 2023","Sun Aug 27 13:30:51 GMT 2023","3","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Aug 27 13:30:48 GMT 2023","Sun Aug 27 13:30:51 GMT 2023","2286","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Aug 27 13:30:51 GMT 2023","Sun Aug 27 13:30:51 GMT 2023","3","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"failed","Sun Aug 27 13:30:57 GMT 2023","Sun Aug 27 13:31:04 GMT 2023","7033","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
